Date,Power_kW,Holiday,Temperature (C),Power-1,Hour,Week day,HDH
2017-01-13 09:00:00,128.7640165,0.0,10.37,112.7335455,9,4,0.0
2017-01-13 10:00:00,220.78922450000002,0.0,11.12,128.7640165,10,4,0.0
2017-01-13 11:00:00,194.27709,0.0,11.26,220.78922450000002,11,4,0.0
2017-01-13 12:00:00,197.5106715,0.0,11.73,194.27709,12,4,0.0
2017-01-13 13:00:00,198.66850300000002,0.0,11.95,197.5106715,13,4,0.0
2017-01-13 14:00:00,207.2701925,0.0,12.23,198.66850300000002,14,4,0.0
2017-01-13 15:00:00,209.338295,0.0,12.02,207.2701925,15,4,0.0
2017-01-13 16:00:00,206.3450635,0.0,12.13,209.338295,16,4,0.0
2017-01-13 17:00:00,159.20784,0.0,11.69,206.3450635,17,4,0.0
2017-01-13 18:00:00,138.5781625,0.0,10.66,159.20784,18,4,0.0
2017-01-13 19:00:00,105.07468349999999,0.0,9.88,138.5781625,19,4,0.0
2017-01-13 20:00:00,84.2477005,0.0,9.66,105.07468349999999,20,4,0.0
2017-01-13 21:00:00,57.7475835,0.0,9.59,84.2477005,21,4,0.0
2017-01-13 22:00:00,47.142249,0.0,9.38,57.7475835,22,4,0.0
2017-01-13 23:00:00,46.623093,0.0,9.16,47.142249,23,4,0.0
2017-01-14 00:00:00,45.0977445,0.0,9.09,46.623093,0,5,0.0
2017-01-14 01:00:00,43.6014565,0.0,8.73,45.0977445,1,5,0.0
2017-01-14 02:00:00,43.0914775,0.0,8.55,43.6014565,2,5,0.0
2017-01-14 03:00:00,42.989001,0.0,8.29,43.0914775,3,5,0.0
2017-01-14 04:00:00,42.167004,0.0,8.17,42.989001,4,5,0.0
2017-01-14 05:00:00,42.41522,0.0,7.46,42.167004,5,5,0.0
2017-01-14 06:00:00,42.357973,0.0,7.36,42.41522,6,5,0.0
2017-01-14 07:00:00,47.116903,0.0,7.4,42.357973,7,5,0.0
2017-01-14 08:00:00,47.5794675,0.0,7.62,47.116903,8,5,0.0
2017-01-14 09:00:00,48.335259,0.0,7.85,47.5794675,9,5,0.0
2017-01-14 10:00:00,48.493016,0.0,8.69,48.335259,10,5,0.0
2017-01-14 11:00:00,71.00419699999998,0.0,8.55,48.493016,11,5,0.0
2017-01-14 12:00:00,70.8103875,0.0,9.33,71.00419699999998,12,5,0.0
2017-01-14 13:00:00,72.0855535,0.0,10.39,70.8103875,13,5,0.0
2017-01-14 14:00:00,70.032746,0.0,11.38,72.0855535,14,5,0.0
2017-01-14 15:00:00,53.306571,0.0,11.75,70.032746,15,5,0.0
2017-01-14 16:00:00,50.7660715,0.0,11.79,53.306571,16,5,0.0
2017-01-14 17:00:00,52.531333,0.0,12.22,50.7660715,17,5,0.0
2017-01-14 18:00:00,53.4042405,0.0,11.41,52.531333,18,5,0.0
2017-01-14 19:00:00,52.7273275,0.0,9.67,53.4042405,19,5,0.0
